name,latitude,longitude,hub_height,rotor_diameter,rated_power,thrust_coefficient
T01,55.4850,7.8900,90,126,3600,0.80
T02,55.4850,7.9000,90,126,3600,0.80
T03,55.4850,7.9100,90,126,3600,0.80
T04,55.4850,7.9200,90,126,3600,0.80
T05,55.4850,7.9300,90,126,3600,0.80
T06,55.4900,7.8900,90,126,3600,0.80
T07,55.4900,7.9000,90,126,3600,0.80
T08,55.4900,7.9100,90,126,3600,0.80
T09,55.4900,7.9200,90,126,3600,0.80
T10,55.4900,7.9300,90,126,3600,0.80
T11,55.4950,7.8900,90,126,3600,0.80
T12,55.4950,7.9000,90,126,3600,0.80
T13,55.4950,7.9100,90,126,3600,0.80
T14,55.4950,7.9200,90,126,3600,0.80
T15,55.4950,7.9300,90,126,3600,0.80
T16,55.5000,7.8900,90,126,3600,0.80
T17,55.5000,7.9000,90,126,3600,0.80
T18,55.5000,7.9100,90,126,3600,0.80
T19,55.5000,7.9200,90,126,3600,0.80
T20,55.5000,7.9300,90,126,3600,0.80
